Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2022-01-03,711.0422973632812,712.6097466433577,692.7240511526534,694.8295953810808,9069184
2022-01-04,715.2066650390625,717.242013200678,705.4977658695926,711.2061078358669,8857352
2022-01-05,732.1913452148438,735.5368326901471,714.9960662063432,719.0668195884875,14332638
2022-01-06,720.4470825195312,727.4655635961949,715.9084876032401,721.967753419475,9628930
2022-01-07,725.5003662109375,733.0803024514203,718.6456386996041,722.4356068198455,11179384
2022-01-10,729.5242919921875,735.536779049019,723.137463117213,728.9861970473102,8856496
2022-01-11,732.6826171875,733.992699333782,724.2136617774655,730.6472691784858,8389198
2022-01-12,728.3544921875,737.7124657944661,726.1787519005727,733.6651307861456,21085530
2022-01-13,714.9492797851562,727.5825458546584,711.3932607592723,727.5825458546584,41963896
2022-01-14,722.9737548828125,724.6347611521733,710.7381913179858,715.885077496062,11208968
2022-01-17,711.9078979492188,728.0504036864833,710.8083473875251,715.8850370439071,22989372
2022-01-18,715.5340576171875,725.6640754798688,712.609690862172,717.2886776701968,12341152
2022-01-19,710.4807739257812,720.4470393034343,708.0945019261654,717.7566217187649,14317626
2022-01-20,706.05908203125,715.183105954119,701.8947725098128,715.1596881743691,15197846
2022-01-21,711.9546508789062,715.7914544908904,695.1102976698634,701.8480503767886,11537694
2022-01-24,695.6016235351562,711.790907358927,686.6647696631117,706.5036291281489,11868508
2022-01-25,696.2567138671875,699.5085871279545,675.6457523831212,682.5004800615633,13594248
2022-01-27,690.127197265625,694.8296022690124,671.4346661656787,678.4531469966787,28617838
2022-01-28,684.6527709960938,695.6249726359689,683.1321002250448,691.3203274537698,24925208
2022-01-31,695.1571044921875,697.8943576936214,686.3138643897004,689.0978389232178,12842546
2022-02-01,700.4443359375,709.8023096975201,689.4252989884608,705.8251708495114,14739484
2022-02-02,716.446533203125,718.2245712750496,704.4683367927917,707.439482390718,13969290
2022-02-03,709.0302734375,720.5405698688631,706.0591281584843,715.3001273507508,10564762
2022-02-04,713.07763671875,717.2185288944974,708.4454280490403,715.1364024737923,11579958
2022-02-07,686.945556640625,710.7381964956596,683.1321704303245,707.5096837189468,12268042
2022-02-08,683.997802734375,691.7649108616467,675.9031883160477,690.8057526569561,13981130
2022-02-09,700.7251586914062,701.7077346460622,686.4074683215063,689.6827595813908,11308342
2022-02-10,713.59228515625,718.4584429859755,702.6200836537802,708.398621088093,14314530
